"Id","ComprimetoAsasM","LarguraAsasM","ComprimentoMotoresM","LarguraMotoresM","Tipos"
1,"5.1","3.5","1.4","0.2","Aero-supertucano"
2,"4.9","3.0","1.4","0.2","Aero-supertucano"
3,"4.7","3.2","1.3","0.2","Aero-supertucano"
4,"4.6","3.1","1.5","0.2","Aero-supertucano"
5,"5.0","3.6","1.4","0.2","Aero-supertucano"
6,"5.4","3.9","1.7","0.4","Aero-supertucano"
7,"4.6","3.4","1.4","0.3","Aero-supertucano"
8,"5.0","3.4","1.5","0.2","Aero-supertucano"
9,"4.4","2.9","1.4","0.2","Aero-supertucano"
10,"4.9","3.1","1.5","0.1","Aero-supertucano"
11,"5.4","3.7","1.5","0.2","Aero-supertucano"
12,"4.8","3.4","1.6","0.2","Aero-supertucano"
13,"4.8","3.0","1.4","0.1","Aero-supertucano"
14,"4.3","3.0","1.1","0.1","Aero-supertucano"
15,"5.8","4.0","1.2","0.2","Aero-supertucano"
16,"5.7","4.4","1.5","0.4","Aero-supertucano"
17,"5.4","3.9","1.3","0.4","Aero-supertucano"
18,"5.1","3.5","1.4","0.3","Aero-supertucano"
19,"5.7","3.8","1.7","0.3","Aero-supertucano"
20,"5.1","3.8","1.5","0.3","Aero-supertucano"
21,"5.4","3.4","1.7","0.2","Aero-supertucano"
22,"5.1","3.7","1.5","0.4","Aero-supertucano"
23,"4.6","3.6","1.0","0.2","Aero-supertucano"
24,"5.1","3.3","1.7","0.5","Aero-supertucano"
25,"4.8","3.4","1.9","0.2","Aero-supertucano"
26,"5.0","3.0","1.6","0.2","Aero-supertucano"
27,"5.0","3.4","1.6","0.4","Aero-supertucano"
28,"5.2","3.5","1.5","0.2","Aero-supertucano"
29,"5.2","3.4","1.4","0.2","Aero-supertucano"
30,"4.7","3.2","1.6","0.2","Aero-supertucano"
31,"4.8","3.1","1.6","0.2","Aero-supertucano"
32,"5.4","3.4","1.5","0.4","Aero-supertucano"
33,"5.2","4.1","1.5","0.1","Aero-supertucano"
34,"5.5","4.2","1.4","0.2","Aero-supertucano"
35,"4.9","3.1","1.5","0.1","Aero-supertucano"
36,"5.0","3.2","1.2","0.2","Aero-supertucano"
37,"5.5","3.5","1.3","0.2","Aero-supertucano"
38,"4.9","3.1","1.5","0.1","Aero-supertucano"
39,"4.4","3.0","1.3","0.2","Aero-supertucano"
40,"5.1","3.4","1.5","0.2","Aero-supertucano"
41,"5.0","3.5","1.3","0.3","Aero-supertucano"
42,"4.5","2.3","1.3","0.3","Aero-supertucano"
43,"4.4","3.2","1.3","0.2","Aero-supertucano"
44,"5.0","3.5","1.6","0.6","Aero-supertucano"
45,"5.1","3.8","1.9","0.4","Aero-supertucano"
46,"4.8","3.0","1.4","0.3","Aero-supertucano"
47,"5.1","3.8","1.6","0.2","Aero-supertucano"
48,"4.6","3.2","1.4","0.2","Aero-supertucano"
49,"5.3","3.7","1.5","0.2","Aero-supertucano"
50,"5.0","3.3","1.4","0.2","Aero-supertucano"
51,"7.0","3.2","4.7","1.4","Aero-KC390"
52,"6.4","3.2","4.5","1.5","Aero-KC390"
53,"6.9","3.1","4.9","1.5","Aero-KC390"
54,"5.5","2.3","4.0","1.3","Aero-KC390"
55,"6.5","2.8","4.6","1.5","Aero-KC390"
56,"5.7","2.8","4.5","1.3","Aero-KC390"
57,"6.3","3.3","4.7","1.6","Aero-KC390"
58,"4.9","2.4","3.3","1.0","Aero-KC390"
59,"6.6","2.9","4.6","1.3","Aero-KC390"
60,"5.2","2.7","3.9","1.4","Aero-KC390"
61,"5.0","2.0","3.5","1.0","Aero-KC390"
62,"5.9","3.0","4.2","1.5","Aero-KC390"
63,"6.0","2.2","4.0","1.0","Aero-KC390"
64,"6.1","2.9","4.7","1.4","Aero-KC390"
65,"5.6","2.9","3.6","1.3","Aero-KC390"
66,"6.7","3.1","4.4","1.4","Aero-KC390"
67,"5.6","3.0","4.5","1.5","Aero-KC390"
68,"5.8","2.7","4.1","1.0","Aero-KC390"
69,"6.2","2.2","4.5","1.5","Aero-KC390"
70,"5.6","2.5","3.9","1.1","Aero-KC390"
71,"5.9","3.2","4.8","1.8","Aero-KC390"
72,"6.1","2.8","4.0","1.3","Aero-KC390"
73,"6.3","2.5","4.9","1.5","Aero-KC390"
74,"6.1","2.8","4.7","1.2","Aero-KC390"
75,"6.4","2.9","4.3","1.3","Aero-KC390"
76,"6.6","3.0","4.4","1.4","Aero-KC390"
77,"6.8","2.8","4.8","1.4","Aero-KC390"
78,"6.7","3.0","5.0","1.7","Aero-KC390"
79,"6.0","2.9","4.5","1.5","Aero-KC390"
80,"5.7","2.6","3.5","1.0","Aero-KC390"
81,"5.5","2.4","3.8","1.1","Aero-KC390"
82,"5.5","2.4","3.7","1.0","Aero-KC390"
83,"5.8","2.7","3.9","1.2","Aero-KC390"
84,"6.0","2.7","5.1","1.6","Aero-KC390"
85,"5.4","3.0","4.5","1.5","Aero-KC390"
86,"6.0","3.4","4.5","1.6","Aero-KC390"
87,"6.7","3.1","4.7","1.5","Aero-KC390"
88,"6.3","2.3","4.4","1.3","Aero-KC390"
89,"5.6","3.0","4.1","1.3","Aero-KC390"
90,"5.5","2.5","4.0","1.3","Aero-KC390"
91,"5.5","2.6","4.4","1.2","Aero-KC390"
92,"6.1","3.0","4.6","1.4","Aero-KC390"
93,"5.8","2.6","4.0","1.2","Aero-KC390"
94,"5.0","2.3","3.3","1.0","Aero-KC390"
95,"5.6","2.7","4.2","1.3","Aero-KC390"
96,"5.7","3.0","4.2","1.2","Aero-KC390"
97,"5.7","2.9","4.2","1.3","Aero-KC390"
98,"6.2","2.9","4.3","1.3","Aero-KC390"
99,"5.1","2.5","3.0","1.1","Aero-KC390"
100,"5.7","2.8","4.1","1.3","Aero-KC390"
101,"6.3","3.3","6.0","2.5","Aero-GripenBR"
102,"5.8","2.7","5.1","1.9","Aero-GripenBR"
103,"7.1","3.0","5.9","2.1","Aero-GripenBR"
104,"6.3","2.9","5.6","1.8","Aero-GripenBR"
105,"6.5","3.0","5.8","2.2","Aero-GripenBR"
106,"7.6","3.0","6.6","2.1","Aero-GripenBR"
107,"4.9","2.5","4.5","1.7","Aero-GripenBR"
108,"7.3","2.9","6.3","1.8","Aero-GripenBR"
109,"6.7","2.5","5.8","1.8","Aero-GripenBR"
110,"7.2","3.6","6.1","2.5","Aero-GripenBR"
111,"6.5","3.2","5.1","2.0","Aero-GripenBR"
112,"6.4","2.7","5.3","1.9","Aero-GripenBR"
113,"6.8","3.0","5.5","2.1","Aero-GripenBR"
114,"5.7","2.5","5.0","2.0","Aero-GripenBR"
115,"5.8","2.8","5.1","2.4","Aero-GripenBR"
116,"6.4","3.2","5.3","2.3","Aero-GripenBR"
117,"6.5","3.0","5.5","1.8","Aero-GripenBR"
118,"7.7","3.8","6.7","2.2","Aero-GripenBR"
119,"7.7","2.6","6.9","2.3","Aero-GripenBR"
120,"6.0","2.2","5.0","1.5","Aero-GripenBR"
121,"6.9","3.2","5.7","2.3","Aero-GripenBR"
122,"5.6","2.8","4.9","2.0","Aero-GripenBR"
123,"7.7","2.8","6.7","2.0","Aero-GripenBR"
124,"6.3","2.7","4.9","1.8","Aero-GripenBR"
125,"6.7","3.3","5.7","2.1","Aero-GripenBR"
126,"7.2","3.2","6.0","1.8","Aero-GripenBR"
127,"6.2","2.8","4.8","1.8","Aero-GripenBR"
128,"6.1","3.0","4.9","1.8","Aero-GripenBR"
129,"6.4","2.8","5.6","2.1","Aero-GripenBR"
130,"7.2","3.0","5.8","1.6","Aero-GripenBR"
131,"7.4","2.8","6.1","1.9","Aero-GripenBR"
132,"7.9","3.8","6.4","2.0","Aero-GripenBR"
133,"6.4","2.8","5.6","2.2","Aero-GripenBR"
134,"6.3","2.8","5.1","1.5","Aero-GripenBR"
135,"6.1","2.6","5.6","1.4","Aero-GripenBR"
136,"7.7","3.0","6.1","2.3","Aero-GripenBR"
137,"6.3","3.4","5.6","2.4","Aero-GripenBR"
138,"6.4","3.1","5.5","1.8","Aero-GripenBR"
139,"6.0","3.0","4.8","1.8","Aero-GripenBR"
140,"6.9","3.1","5.4","2.1","Aero-GripenBR"
141,"6.7","3.1","5.6","2.4","Aero-GripenBR"
142,"6.9","3.1","5.1","2.3","Aero-GripenBR"
143,"5.8","2.7","5.1","1.9","Aero-GripenBR"
144,"6.8","3.2","5.9","2.3","Aero-GripenBR"
145,"6.7","3.3","5.7","2.5","Aero-GripenBR"
146,"6.7","3.0","5.2","2.3","Aero-GripenBR"
147,"6.3","2.5","5.0","1.9","Aero-GripenBR"
148,"6.5","3.0","5.2","2.0","Aero-GripenBR"
149,"6.2","3.4","5.4","2.3","Aero-GripenBR"
150,"5.9","3.0","5.1","1.8","Aero-GripenBR"
